date,is_weekend,is_open,type_frequentation,jf,id_attraction,capacite salle,capacite file d'attente,capacite pre-salle,duree,cycle_attraction_max,duty_cycle_max,visitor_count,ec_value,temperature,humidite,rayonnement_solaire,temp_max,temp_min,temp_moy,humidite_max,humidite_min,humidite_moy,hour,min,day,month,year,week,id
2025-02-21 22:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,0.0,18.620000000001163,12.1,68.13687,0.0,16.2,10.3,12.691667,91.4016,63.219814,74.27552,22,0,21,2,2025,8,1247
2025-02-21 23:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,0.0,23.359999999997672,11.95,66.480125,0.0,16.2,10.3,12.691667,91.4016,63.219814,74.27552,23,0,21,2,2025,8,1248
2025-02-22 00:00:00,1,1,HF,0,H03,84,750,252,4.0,6.0,0.4,0.0,0.0,11.6,68.03301,0.0,14.35,7.3,11.072917,97.024506,55.673325,81.050865,0,0,22,2,2025,8,1249
2025-02-22 01:00:00,1,1,HF,0,H03,84,750,252,4.0,6.0,0.4,0.0,0.0,10.85,76.595,0.0,14.35,7.3,11.072917,97.024506,55.673325,81.050865,1,0,22,2,2025,8,1250
2025-02-22 02:00:00,1,1,HF,0,H03,84,750,252,4.0,6.0,0.4,0.0,0.0,11.95,67.40481,0.0,14.35,7.3,11.072917,97.024506,55.673325,81.050865,2,0,22,2,2025,8,1251
2025-02-22 03:00:00,1,1,HF,0,H03,84,750,252,4.0,6.0,0.4,0.0,0.0,11.6,72.63228,0.0,14.35,7.3,11.072917,97.024506,55.673325,81.050865,3,0,22,2,2025,8,1252
2025-02-22 04:00:00,1,1,HF,0,H03,84,750,252,4.0,6.0,0.4,0.0,0.0,10.5,84.22738,0.0,14.35,7.3,11.072917,97.024506,55.673325,81.050865,4,0,22,2,2025,8,1253
2025-02-22 05:00:00,1,1,HF,0,H03,84,750,252,4.0,6.0,0.4,0.0,0.0,10.05,89.18525,0.0,14.35,7.3,11.072917,97.024506,55.673325,81.050865,5,0,22,2,2025,8,1254
2025-02-22 06:00:00,1,1,HF,0,H03,84,750,252,4.0,6.0,0.4,0.0,0.0,9.95,95.7323,0.0,14.35,7.3,11.072917,97.024506,55.673325,81.050865,6,0,22,2,2025,8,1255
2025-02-22 07:00:00,1,1,HF,0,H03,84,750,252,4.0,6.0,0.4,0.0,0.0,9.8,97.024506,0.0,14.35,7.3,11.072917,97.024506,55.673325,81.050865,7,0,22,2,2025,8,1256
2025-02-22 08:00:00,1,1,HF,0,H03,84,750,252,4.0,6.0,0.4,0.0,0.0,9.95,96.05478,0.0,14.35,7.3,11.072917,97.024506,55.673325,81.050865,8,0,22,2,2025,8,1257
