date,visitor_count,elec_1,elec_2,elec_3,cycle_attraction_max,duty_cycle_max,capacite salle,capacite file d'attente,capacite pre-salle,is_weekend,jf,is_open,type_frequentation,temperature,temp_max,temp_min,temp_moy,humidite,humidite_max,humidite_min,humidite_moy,rayonnement_solaire,hour,min,day,month,year,week
2025-02-16 00:00:00,0,40.9815,20.62,4.14,4.5,0.6,190,800,190,1,0,1,HF,1.0,10.6,-1.45,3.7291667,82.77691,93.94132,58.9341,80.26217,0.0,0,0,16,2,2025,7
2025-02-16 01:00:00,0,40.71,20.8,1.0,4.5,0.6,190,800,190,1,0,1,HF,0.2,10.6,-1.45,3.7291667,87.053925,93.94132,58.9341,80.26217,0.0,1,0,16,2,2025,7
2025-02-16 02:00:00,0,42.645,22.45,1.0,4.5,0.6,190,800,190,1,0,1,HF,0.45,10.6,-1.45,3.7291667,87.71997,93.94132,58.9341,80.26217,0.0,2,0,16,2,2025,7
2025-02-16 03:00:00,0,40.886,20.99,0.0,4.5,0.6,190,800,190,1,0,1,HF,0.3,10.6,-1.45,3.7291667,88.67641,93.94132,58.9341,80.26217,0.0,3,0,16,2,2025,7
2025-02-16 04:00:00,0,41.462,21.83,0.0,4.5,0.6,190,800,190,1,0,1,HF,-0.2,10.6,-1.45,3.7291667,90.94292,93.94132,58.9341,80.26217,0.0,4,0,16,2,2025,7
2025-02-16 05:00:00,0,40.949,20.75,0.0,4.5,0.6,190,800,190,1,0,1,HF,-0.8,10.6,-1.45,3.7291667,92.59062,93.94132,58.9341,80.26217,0.0,5,0,16,2,2025,7
2025-02-16 06:00:00,0,52.744,24.38,0.0,4.5,0.6,190,800,190,1,0,1,HF,-1.0,10.6,-1.45,3.7291667,93.26389,93.94132,58.9341,80.26217,0.0,6,0,16,2,2025,7
2025-02-16 07:00:00,0,62.762,24.74,0.0,4.5,0.6,190,800,190,1,0,1,HF,-1.25,10.6,-1.45,3.7291667,93.94132,93.94132,58.9341,80.26217,0.0,7,0,16,2,2025,7
2025-02-16 08:00:00,0,59.462,20.64,1.0,4.5,0.6,190,800,190,1,0,1,HF,-1.45,10.6,-1.45,3.7291667,93.58503,93.94132,58.9341,80.26217,0.0,8,0,16,2,2025,7
2025-02-16 09:00:00,0,81.416,49.72,5.0,4.5,0.6,190,800,190,1,0,1,HF,-0.75,10.6,-1.45,3.7291667,90.235275,93.94132,58.9341,80.26217,43.0,9,0,16,2,2025,7
2025-02-16 10:00:00,213,156.728,81.61,10.73,4.5,0.6,190,800,190,1,0,1,HF,1.3,10.6,-1.45,3.7291667,82.81553,93.94132,58.9341,80.26217,175.0,10,0,16,2,2025,7
2025-02-16 11:00:00,348,212.834,126.13,25.17,4.5,0.6,190,800,190,1,0,1,HF,3.95,10.6,-1.45,3.7291667,75.71124,93.94132,58.9341,80.26217,331.0,11,0,16,2,2025,7
2025-02-16 12:00:00,243,203.85,121.97,28.2,4.5,0.6,190,800,190,1,0,1,HF,6.55,10.6,-1.45,3.7291667,69.65689,93.94132,58.9341,80.26217,446.0,12,0,16,2,2025,7
2025-02-16 13:00:00,96,201.066,118.71,20.17,4.5,0.6,190,800,190,1,0,1,HF,8.55,10.6,-1.45,3.7291667,64.57811,93.94132,58.9341,80.26217,509.0,13,0,16,2,2025,7
2025-02-16 14:00:00,77,200.564,119.87,16.13,4.5,0.6,190,800,190,1,0,1,HF,9.7,10.6,-1.45,3.7291667,60.83622,93.94132,58.9341,80.26217,516.0,14,0,16,2,2025,7
2025-02-16 15:00:00,103,188.111,108.59,5.6,4.5,0.6,190,800,190,1,0,1,HF,10.45,10.6,-1.45,3.7291667,59.526016,93.94132,58.9341,80.26217,472.0,15,0,16,2,2025,7
2025-02-16 16:00:00,105,188.068,108.48,5.2,4.5,0.6,190,800,190,1,0,1,HF,10.6,10.6,-1.45,3.7291667,58.9341,93.94132,58.9341,80.26217,381.0,16,0,16,2,2025,7
2025-02-16 17:00:00,92,186.854,108.34,2.8,4.5,0.6,190,800,190,1,0,1,HF,9.95,10.6,-1.45,3.7291667,63.089993,93.94132,58.9341,80.26217,240.0,17,0,16,2,2025,7
2025-02-16 18:00:00,59,192.046,110.81,7.0,4.5,0.6,190,800,190,1,0,1,HF,7.55,10.6,-1.45,3.7291667,76.05113,93.94132,58.9341,80.26217,86.0,18,0,16,2,2025,7
2025-02-16 19:00:00,22,123.816,65.93,6.6,4.5,0.6,190,800,190,1,0,1,HF,5.55,10.6,-1.45,3.7291667,84.536865,93.94132,58.9341,80.26217,4.0,19,0,16,2,2025,7
2025-02-16 20:00:00,0,38.828,20.53,15.0,4.5,0.6,190,800,190,1,0,1,HF,5.2,10.6,-1.45,3.7291667,83.8996,93.94132,58.9341,80.26217,0.0,20,0,16,2,2025,7
2025-02-16 21:00:00,0,40.396,22.37,22.6,4.5,0.6,190,800,190,1,0,1,HF,4.65,10.6,-1.45,3.7291667,83.83381,93.94132,58.9341,80.26217,0.0,21,0,16,2,2025,7
2025-02-16 22:00:00,0,39.651,22.08,9.4,4.5,0.6,190,800,190,1,0,1,HF,4.7,10.6,-1.45,3.7291667,80.900764,93.94132,58.9341,80.26217,0.0,22,0,16,2,2025,7
2025-02-16 23:00:00,0,38.90539051,21.79,7.14,4.5,0.6,190,800,190,1,0,1,HF,4.3,10.6,-1.45,3.7291667,81.13544,93.94132,58.9341,80.26217,0.0,23,0,16,2,2025,7
2025-02-17 00:00:00,0,43.00620438,21.4,17.44,4.5,0.6,190,800,190,0,0,1,HF,3.85,12.15,-0.1,5.2833333,82.84085,95.72842,58.45653,82.07648,0.0,0,0,17,2,2025,8
2025-02-17 01:00:00,0,43.00620438,21.4,17.44,4.5,0.6,190,800,190,0,0,1,HF,3.1,12.15,-0.1,5.2833333,86.40195,95.72842,58.45653,82.07648,0.0,1,0,17,2,2025,8
2025-02-17 02:00:00,0,43.00620438,21.4,17.44,4.5,0.6,190,800,190,0,0,1,HF,3.0,12.15,-0.1,5.2833333,86.39163,95.72842,58.45653,82.07648,0.0,2,0,17,2,2025,8
2025-02-17 03:00:00,0,43.00620438,21.4,17.44,4.5,0.6,190,800,190,0,0,1,HF,2.05,12.15,-0.1,5.2833333,91.10126,95.72842,58.45653,82.07648,0.0,3,0,17,2,2025,8
2025-02-17 04:00:00,0,43.00620438,21.4,17.44,4.5,0.6,190,800,190,0,0,1,HF,2.1,12.15,-0.1,5.2833333,91.43345,95.72842,58.45653,82.07648,0.0,4,0,17,2,2025,8
2025-02-17 05:00:00,0,43.00620438,21.4,17.44,4.5,0.6,190,800,190,0,0,1,HF,1.65,12.15,-0.1,5.2833333,93.40438,95.72842,58.45653,82.07648,0.0,5,0,17,2,2025,8
2025-02-17 06:00:00,0,43.00620438,21.4,17.44,4.5,0.6,190,800,190,0,0,1,HF,1.8,12.15,-0.1,5.2833333,92.741646,95.72842,58.45653,82.07648,0.0,6,0,17,2,2025,8
2025-02-17 07:00:00,0,43.00620438,21.4,17.44,4.5,0.6,190,800,190,0,0,1,HF,-0.1,12.15,-0.1,5.2833333,95.72842,95.72842,58.45653,82.07648,0.0,7,0,17,2,2025,8
2025-02-17 08:00:00,0,43.00620438,21.4,17.44,4.5,0.6,190,800,190,0,0,1,HF,0.75,12.15,-0.1,5.2833333,95.41132,95.72842,58.45653,82.07648,0.0,8,0,17,2,2025,8
2025-02-17 09:00:00,0,83.36677007,37.11,35.89,4.5,0.6,190,800,190,0,0,1,HF,1.95,12.15,-0.1,5.2833333,90.7663,95.72842,58.45653,82.07648,30.0,9,0,17,2,2025,8
2025-02-17 10:00:00,170,194.499,108.29,37.7,4.5,0.6,190,800,190,0,0,1,HF,3.3,12.15,-0.1,5.2833333,85.49646,95.72842,58.45653,82.07648,119.0,10,0,17,2,2025,8
2025-02-17 11:00:00,450,214.524,140.57,26.9,4.5,0.6,190,800,190,0,0,1,HF,5.35,12.15,-0.1,5.2833333,78.996574,95.72842,58.45653,82.07648,337.0,11,0,17,2,2025,8
2025-02-17 12:00:00,285,188.011,105.14,11.4,4.5,0.6,190,800,190,0,0,1,HF,7.3,12.15,-0.1,5.2833333,73.36907,95.72842,58.45653,82.07648,450.0,12,0,17,2,2025,8
2025-02-17 13:00:00,59,187.828,106.94,14.2,4.5,0.6,190,800,190,0,0,1,HF,9.1,12.15,-0.1,5.2833333,67.98439,95.72842,58.45653,82.07648,517.0,13,0,17,2,2025,8
2025-02-17 14:00:00,88,196.85,115.79,11.4,4.5,0.6,190,800,190,0,0,1,HF,11.3,12.15,-0.1,5.2833333,61.437164,95.72842,58.45653,82.07648,530.0,14,0,17,2,2025,8
2025-02-17 15:00:00,111,177.29,99.23,13.0,4.5,0.6,190,800,190,0,0,1,HF,12.0,12.15,-0.1,5.2833333,58.45653,95.72842,58.45653,82.07648,486.0,15,0,17,2,2025,8
