Date,Hour,D11_ELEC_MTH_general TD Audio [kWh] [D11 - Futur l'expo (MTH)],D11_ELEC_MTH_inter general scenique [kWh] [D11 - Futur l'expo (MTH)]
2025-06-20 05:00:00.000,05:00,8.998400000017137,28.031999999913385
2025-06-20 06:00:00.000,06:00,10.00959999996703,27.200000000023284
2025-06-20 07:00:00.000,07:00,10.188800000038464,34.56000000000931
2025-06-20 08:00:00.000,08:00,9.811199999961538,36.0192000000272
2025-06-20 09:00:00.000,09:00,11.500799999997252,35.43039999997709
2025-06-20 10:00:00.000,10:00,13.289600000018254,34.96320000002161
2025-06-20 11:00:00.000,11:00,14.710399999981746,36.012800000002606
2025-06-20 12:00:00.000,12:00,14.291200000030221,35.00799999994924
2025-06-20 13:00:00.000,13:00,14.809599999990315,35.36640000006882
2025-06-20 14:00:00.000,14:00,14.003200000000652,36.03199999993667
2025-06-20 15:00:00.000,15:00,14.579200000013225,35.008000000030734
2025-06-20 16:00:00.000,16:00,14.015999999968335,34.969599999976346
2025-06-20 17:00:00.000,17:00,13.401600000017789,36.00640000004787
2025-06-20 18:00:00.000,18:00,12.99200000000419,35.007999999984165
2025-06-20 19:00:00.000,19:00,12.991999999992549,35.9935999999987
2025-06-20 20:00:00.000,20:00,12.614399999985471,36.0064000000013
2025-06-20 21:00:00.000,21:00,12.992000000027474,35.00799999996089
2025-06-20 22:00:00.000,22:00,11.81439999997383,30.771200000029058
2025-06-20 23:00:00.000,23:00,9.24708571429697,28.028342857171914
2025-06-21 00:00:00.000,00:00,9.034514285742938,27.178057142875957
2025-06-21 01:00:00.000,01:00,9.913599999953295,28.02559999991208
2025-06-21 02:00:00.000,02:00,8.995200000016485,27.372800000081767
2025-06-21 03:00:00.000,03:00,8.992000000027474,28.03199999991339
2025-06-21 04:00:00.000,04:00,9.017599999986125,27.200000000023284
2025-06-21 05:00:00.000,05:00,8.99839999997057,27.77600000000093
2025-06-21 06:00:00.000,06:00,8.992000000015832,28.03200000000652
2025-06-21 07:00:00.000,07:00,11.001599999982865,34.752000000001864
2025-06-21 08:00:00.000,08:00,9.792000000039115,36.0192000000272
2025-06-21 09:00:00.000,09:00,12.495999999972991,35.43039999997709
2025-06-21 10:00:00.000,10:00,16,35.25120000004535
2025-06-21 11:00:00.000,11:00,16,35.724799999978856
2025-06-21 12:00:00.000,12:00,16.29760000000824,35.00799999994924
2025-06-21 13:00:00.000,13:00,16.415999999985797,34.79040000002133
2025-06-21 14:00:00.000,14:00,15.385600000014529,35.58400000000838
2025-06-21 15:00:00.000,15:00,14.01600000000326,35.008000000030734
2025-06-21 16:00:00.000,16:00,11.987199999997392,34.3935999999987
2025-06-21 17:00:00.000,17:00,12.608000000019093,31.423999999952503
2025-06-21 18:00:00.000,18:00,12.396799999987707,39.193600000045265
2025-06-21 19:00:00.000,19:00,14.598400000005494,54.988800000003536
2025-06-21 20:00:00.000,20:00,14.393599999987055,35.417599999974485
2025-06-21 21:00:00.000,21:00,16.614399999985473,35.00799999996088
2025-06-21 22:00:00.000,22:00,12.39680000001099,30.976000000024214
2025-06-21 23:00:00.000,23:00,9.656685714287285,27.5602285714687
2025-06-22 00:00:00.000,00:00,10.948114285696231,27.95337142857191
2025-06-22 01:00:00.000,01:00,9.094400000019231,27.968000000005123
2025-06-22 02:00:00.000,02:00,10.703999999986262,26.71360000000568
2025-06-22 03:00:00.000,03:00,10.982400000013875,27.82719999991823
2025-06-22 04:00:00.000,04:00,10.009600000001956,27.96800000008661
2025-06-22 05:00:00.000,05:00,10.01600000000326,27.212799999932756
2025-06-22 06:00:00.000,06:00,10.188799999991897,27.827200000011363
2025-06-22 07:00:00.000,07:00,11.795200000004844,35.76319999999832
2025-06-22 08:00:00.000,08:00,10.01600000000326,36.03200000000652
2025-06-22 09:00:00.000,09:00,11.775999999995111,45.18399999999674
2025-06-22 10:00:00.000,10:00,13.01439999999129,62.976000000024214
2025-06-22 11:00:00.000,11:00,13.99360000002198,46.20159999997122
2025-06-22 12:00:00.000,12:00,14.4,34.79680000005756
